time,open,high,low,close
1596496500,11174.72,11237.55,11163.24,11234.11
1596497400,11234.11,11248.36,11224.37,11228.93
1596498300,11229.52,11245.25,11216.66,11219.81
1596499200,11219.68,11268.41,11217.41,11265.91
1596500100,11264.79,11370,11264.08,11358.17
1596501000,11357.93,11393.86,11345,11360.35
1596501900,11360.35,11414.98,11345.01,11366.68
1596502800,11366.68,11367.83,11335,11343.58
1596503700,11343.58,11371,11338.68,11345.75
1596504600,11345.75,11375.97,11334.99,11361.22
1596505500,11361.21,11362.15,11317.66,11321.09
1596506400,11320.96,11353.85,11307,11339.68
1596507300,11339.68,11360,11329.72,11359.71
1596508200,11359.71,11360.86,11289.23,11299.61
1596509100,11299.61,11310.08,11263.96,11284.34
1596510000,11284.33,11299.6,11268.87,11295.8
1596510900,11295.8,11313.82,11249.75,11259.41
1596511800,11259.3,11270.15,11215.66,11254.84
1596512700,11254.98,11275.45,11233.68,11261.43
1596513600,11261.61,11295.47,11248.69,11278.68
1596514500,11278.68,11305.23,11257.97,11276.55
1596515400,11276.43,11276.43,11229.99,11267.55
1596516300,11267.72,11315.31,11261.56,11311.66
1596517200,11311.66,11327.13,11284.05,11300
1596518100,11300.01,11306.43,11266.23,11272.88
1596519000,11272.88,11299.33,11251.77,11253.92
1596519900,11253.92,11282.94,11250.84,11277.83
1596520800,11277.83,11280,11222.34,11237.99
1596521700,11238,11256.56,11185,11253.48
1596522600,11253.47,11262.19,11242.48,11254.34
1596523500,11254.34,11265,11244,11247.18
1596524400,11247.19,11277.35,11235,11274.43
1596525300,11274.44,11293.58,11260.88,11291.4
1596526200,11291.41,11307.74,11283.11,11306.68
1596527100,11306.68,11307.44,11280.83,11291.84
1596528000,11291.85,11292.21,11267.95,11286.76
1596528900,11286.76,11319.37,11286.74,11306.4
1596529800,11306.41,11306.41,11283.78,11289.7
1596530700,11289.69,11291.33,11238.49,11238.88
1596531600,11239.26,11262.86,11230,11245.46
1596532500,11245.46,11265,11243.09,11265
1596533400,11264.99,11266,11226.01,11244
1596534300,11244,11255.19,11233.55,11249.99
1596535200,11250,11275.67,11239.22,11262.1
1596536100,11262.1,11285.47,11206,11276.49
1596537000,11276.5,11300,11260.94,11265
1596537900,11264.99,11272.03,11210.03,11220.59
1596538800,11220.59,11265.38,11152.88,11261.72
1596539700,11261.71,11276,11226.92,11231.42
1596540600,11231.42,11233.15,11183.36,11205
1596541500,11205.24,11206.9,11000,11117.51
1596542400,11117.91,11173.73,11092.68,11128.21
1596543300,11128.22,11168.98,11103.52,11118.76
1596544200,11118.77,11149,11102.25,11128.05
1596545100,11128.06,11158.44,11123.43,11150.86
1596546000,11150.73,11157.96,11086,11109.34
1596546900,11109.34,11125.25,11012.23,11098.47
1596547800,11098.87,11135,11078.69,11105.86
1596548700,11105.86,11147,11100,11129.99
1596549600,11129.99,11163.86,11129.99,11155.32
1596550500,11155.04,11159.13,11121.4,11141.36
1596551400,11141.35,11184.55,11139.57,11184.14
1596552300,11181.98,11210.21,11156.16,11205
1596553200,11205,11233.64,11186.14,11205.65
1596554100,11205.65,11209.57,11173.5,11184.3
1596555000,11184.59,11211.13,11176.19,11207.53
1596555900,11207.52,11217.26,11184.24,11210.91
1596556800,11210.91,11234,11169.68,11180.41
1596557700,11180.42,11190.38,11158.53,11167.49
1596558600,11167.5,11182.04,11160.59,11164.62
1596559500,11164.61,11165.56,11130,11165.36
1596560400,11165.36,11182.78,11152.1,11173.85
1596561300,11173.85,11199.46,11172,11191.92
1596562200,11192.16,11213.39,11179.44,11184.23
1596563100,11184.23,11259,11180.58,11248.72
1596564000,11248.72,11267,11227,11247.36
1596564900,11245.85,11252.68,11228.3,11245.09
1596565800,11245.1,11250,11208.61,11225.85
1596566700,11225.86,11225.86,11195,11219.67
1596567600,11219.68,11231.58,11213.65,11220.25
1596568500,11220.25,11240,11210.83,11235.97
1596569400,11236,11244,11230.01,11232.03
1596570300,11232.03,11240.39,11220.22,11221.37
1596571200,11221.38,11269.45,11221.06,11260
1596572100,11260,11267,11243.79,11250.2
1596573000,11250.16,11260.01,11226.67,11241.26
1596573900,11241.25,11243.49,11200.22,11211.51
1596574800,11211.51,11217.01,11151.8,11199.39
1596575700,11199.38,11225.91,11192.33,11220.49
1596576600,11220.49,11240.54,11207.49,11219.46
1596577500,11219.46,11246.42,11215.06,11225.13
1596578400,11226.08,11255,11226.08,11240.61
1596579300,11240.61,11241.71,11212.11,11236.84
1596580200,11236.49,11241.89,11198.4,11206.65
1596581100,11206.65,11232.41,11200.93,11232.39
1596582000,11232.4,11240.9,11193.15,11207.45
1596582900,11207.44,11213.45,11192.07,11202.53
1596583800,11202.53,11212.31,11186.21,11196.34
1596584700,11196.35,11197.16,11161.75,11191.97
1596585600,11191.99,11220,11191.33,11205.01
1596586500,11205.01,11205.11,11169.47,11172.67
1596587400,11172.67,11176.67,11141.75,11160.9
1596588300,11160.9,11186.28,11160.9,11175.61
1596589200,11175.61,11178.05,11142.72,11146.7
1596590100,11146.35,11166.95,11093,11166.45
1596591000,11166.45,11174.75,11151.94,11160.13
1596591900,11160.13,11188.04,11157.35,11185.97
1596592800,11185.97,11193,11175.28,11182.39
1596593700,11182.39,11182.39,11145.73,11157.73
1596594600,11157.71,11174.13,11147.66,11169.62
1596595500,11169.62,11198.2,11167.7,11191.63
1596596400,11191.63,11214.19,11186.95,11203
1596597300,11202.95,11213.33,11187.15,11198.85
1596598200,11198.86,11234.07,11198.13,11229.02
1596599100,11229.02,11240.7,11216.71,11240.56
1596600000,11240.56,11255,11237.69,11254.99
1596600900,11255,11257.07,11227.9,11232.7
1596601800,11232.71,11260.28,11232.71,11251.21
1596602700,11251.22,11258,11233.04,11250
1596603600,11250,11264.96,11242.46,11245.93
1596604500,11245.93,11247.9,11232.71,11233.42
1596605400,11233.42,11258.85,11230,11258.7
1596606300,11258.77,11296,11254.45,11295.56
1596607200,11295.56,11324.61,11285,11310.64
1596608100,11310.64,11325.71,11290.11,11299.93
1596609000,11299.94,11316.75,11275.67,11286.14
1596609900,11286.14,11295.89,11272.64,11274.9
1596610800,11274.47,11311.56,11274.47,11311.55
1596611700,11311.55,11313.88,11297.89,11299.22
1596612600,11299.22,11299.22,11276.56,11286.6
1596613500,11286.61,11292.37,11271.22,11278.18
1596614400,11278.18,11321.95,11277.09,11306.96
1596615300,11306.96,11316.41,11283,11286.63
1596616200,11286.68,11297.44,11276.05,11283.22
1596617100,11282.62,11298,11274.84,11297.44
1596618000,11297.44,11374,11297.44,11361.56
1596618900,11361.56,11369.89,11341.87,11357.7
1596619800,11357.42,11382.89,11357.15,11363.87
1596620700,11364.71,11400,11362.67,11393.86
1596621600,11393.86,11440,11383.14,11391.68
1596622500,11391.16,11392.35,11367.94,11379.82
1596623400,11379.81,11388.5,11366.87,11378.63
1596624300,11378.63,11405,11378.52,11393.24
1596625200,11393.23,11430.77,11391.5,11427.99
1596626100,11428,11450,11382.21,11388.19
1596627000,11388.19,11420,11387,11420
1596627900,11419.99,11440,11393.13,11438.06
1596628800,11438.07,11460,11408.88,11424.94
1596629700,11424.95,11424.95,11391.66,11395
1596630600,11394.87,11525,11391.59,11511.29
1596631500,11511.29,11584.6,11491.66,11562.86
1596632400,11563.44,11600,11542.32,11547.92
1596633300,11548.66,11620,11545.86,11614.04
1596634200,11614.62,11618.97,11559.06,11581.17
1596635100,11581.17,11610,11556.01,11609.99
1596636000,11610,11630,11567.3,11587
1596636900,11587,11615.74,11466,11575.74
1596637800,11575.74,11644.65,11570.86,11623.27
1596638700,11623.27,11630.29,11593.8,11617.56
1596639600,11617.56,11677.75,11593.01,11664.88
1596640500,11664.89,11693.94,11646.29,11658.82
1596641400,11658.81,11683.37,11622,11681.8
1596642300,11681.74,11683.93,11628.46,11661.3
1596643200,11662.01,11715,11634.99,11699.82
1596644100,11699.15,11709.51,11645,11658.06
1596645000,11658.07,11668.94,11611.53,11650.02
1596645900,11650.02,11662.85,11617.55,11630.36
1596646800,11629.93,11676.84,11626.79,11658.43
1596647700,11658.33,11660.87,11625,11631.59
1596648600,11631.17,11653.06,11629.82,11644.42
1596649500,11644.42,11679.56,11630,11669.59
1596650400,11669.6,11680,11644.07,11671.98
1596651300,11671.98,11683,11654.89,11677.23
1596652200,11677.23,11689.35,11638.93,11648.55
1596653100,11649.03,11659,11636.37,11657.73
1596654000,11657.73,11680,11657.06,11658.26
1596654900,11658.27,11680,11655,11676.8
1596655800,11676.79,11686,11665.72,11670.44
1596656700,11670.52,11673.12,11624.15,11645
1596657600,11645,11666.07,11634.01,11644.23
1596658500,11644.1,11681.1,11643.8,11675.99
1596659400,11676,11678.41,11658.69,11665.64
1596660300,11665.64,11682.35,11652.51,11682.04
1596661200,11682.05,11746.75,11672.8,11737.75
1596662100,11737.72,11765,11717.04,11759.22
1596663000,11759.22,11780.93,11742.46,11771.05
1596663900,11771.29,11775.17,11743.68,11764.04
1596664800,11764.05,11767.27,11505,11643.86
1596665700,11643.87,11672,11579.71,11622.09
1596666600,11622.2,11661.36,11612.34,11634.17
1596667500,11634.18,11655,11607.53,11620.52
1596668400,11620.5,11659.97,11620.26,11655.84
1596669300,11655.84,11688.46,11650.93,11682.61
1596670200,11682.61,11740,11671.39,11734.98
1596671100,11734.98,11753.84,11723.34,11744.91
1596672000,11744.91,11799,11723.62,11769.34
1596672900,11769.33,11775.55,11641.25,11693.23
1596673800,11693.41,11729.66,11666.81,11722.92
1596674700,11722.91,11741.06,11700.55,11724
1596675600,11724,11724,11670.57,11678.58
1596676500,11678.33,11695.8,11663.54,11689.25
1596677400,11689.25,11689.26,11630.76,11647.57
1596678300,11647.57,11677.85,11630.77,11675.09
1596679200,11675.1,11675.1,11612.95,11625.94
1596680100,11625.95,11668.92,11600.36,11654.05
1596681000,11654.06,11688.2,11654.06,11688.19
1596681900,11688.2,11689.71,11657.09,11682.59
1596682800,11682.59,11683.74,11636.16,11642.94
1596683700,11642.76,11650.77,11620,11634.36
1596684600,11635.83,11665.8,11621.74,11647.5
1596685500,11647.13,11661.47,11636.98,11646.04
1596686400,11645.78,11649.18,11571.41,11644.59
1596687300,11644.59,11647.65,11617.6,11625.42
1596688200,11625.53,11625.54,11562.5,11592.4
1596689100,11592.45,11619,11574.15,11607.38
1596690000,11607.38,11634.4,11594.59,11619.56
1596690900,11619.57,11625.85,11605.27,11610.72
1596691800,11610.72,11611.45,11573.61,11582.04
1596692700,11582.24,11625.87,11571.63,11625.71
1596693600,11625.71,11667.68,11614.58,11667.68
1596694500,11667.39,11667.39,11648.03,11654.15
1596695400,11654.4,11674.42,11648.99,11655.43
1596696300,11655.4,11680,11652.2,11671.81
1596697200,11671.82,11671.86,11645.1,11650.58
1596698100,11650.59,11674.99,11648.15,11669.97
1596699000,11669.97,11674.99,11641.44,11645.31
1596699900,11644.51,11648.9,11626.49,11628.51
1596700800,11628.51,11680,11626.49,11678.09
1596701700,11678.19,11707.88,11677.19,11700.39
1596702600,11700.39,11720,11684.11,11688.7
1596703500,11688.71,11717.54,11684.01,11707.48
1596704400,11707.48,11739.44,11697.64,11735.12
1596705300,11735.13,11743.42,11716.52,11731.25
1596706200,11731.25,11749.53,11722.71,11724.29
1596707100,11724.11,11754.68,11716.87,11739.18
1596708000,11739.19,11749.46,11717.07,11718.17
1596708900,11718.1,11726.1,11701.66,11719.73
1596709800,11720.17,11722.57,11682.33,11699.99
1596710700,11699.99,11706.29,11666.66,11671.17
1596711600,11671.16,11706.5,11655.21,11686.46
1596712500,11686.46,11709.09,11662.18,11708.24
1596713400,11708.24,11730,11705,11706.99
1596714300,11707,11715,11690.99,11692.49
1596715200,11692.49,11729.15,11690.32,11724.65
1596716100,11724.64,11748,11709.79,11746.58
1596717000,11746.58,11773.34,11737.03,11771.54
1596717900,11771.54,11776.6,11751.32,11760.39
